Flamengo	50	50	55	45	64	50.5	65.2	46.05	60.7	51.9	51.5	45.6	55.5	38.6	60.0	46.8	55.7	37.4	71.8	45.3	79	2	53	0	79	1	62	0	72	0	61	1	77	1	60	1	83	2	56	2	87	2	54	1	97	1	53	1	99	2	42	3	90	0	32	2	81	0	27	2	83	2	30	0	90	2	39	0	85	0	32	2	87	2	40	0	94	1	33	1	85	0	30	1	85	1	28	1	86	1	37	0	90	4	37	1	92	4	37	1	85	0	44	0	90	1	36	3	99	2	45	0	93	0	45	2	85	0	44	1	99	3	52	0	99	1	51	2
Fluminense	50	50	65	40	74	35.5	79.6	21.4	89.0	14.8	89.5	10.3	94.0	1.0	89.1	1.0	99.0	1.0	99.0	1.0	99	3	1	3	99	1	1	1	93	0	1	1	99	2	1	1	99	1	1	1	98	0	1	1	92	0	10	0	96	2	9	2	96	3	1	1	93	0	8	0	97	2	6	1	87	0	1	1	92	2	1	2	95	1	1	3	88	0	1	1	81	0	1	1	84	1	1	1	89	1	3	0	91	3	2	1	92	3	1	1	92	1	1	1	98	2	1	1	99	2	1	2	99	1	1	3	99	1	1	3	99	2	9	0	99	1	7	2
Grêmio	50	50	60	55	64	61	71.65	41.2	76.2	47.6	99.0	41.7	99.0	50.4	99.0	59.8	99.0	36.4	95.3	43.8	90	0	41	1	85	0	25	2	91	1	33	0	98	3	30	1	98	3	24	1	99	1	21	1	99	1	17	1	99	1	20	0	99	2	28	0	94	0	24	1	87	0	33	0	98	5	42	0	89	0	37	1	79	0	35	1	69	0	34	1	69	1	43	0	65	0	43	1	66	1	50	0	64	0	58	0	63	0	66	0	72	2	50	2	85	3	49	1	87	1	56	0	87	1	56	1	87	1	66	0	85	0	65	1	86	1	60	1
Palmeiras	50	50	70	55	64.5	50.5	59.45	41.7	52.5	48.5	47.6	45.4	50.7	44.4	44.8	40.6	64.6	40.5	71.8	42.1	76	1	52	0	81	1	45	3	80	0	45	2	82	4	31	2	94	2	26	2	99	2	36	0	99	2	40	0	99	2	36	1	91	0	35	1	92	1	31	1	82	0	25	2	82	4	25	2	84	1	24	1	85	1	30	0	85	1	40	0	85	0	38	1	86	2	37	2	87	3	33	1	91	2	42	0	94	2	50	0	99	2	46	2	99	2	35	3	99	1	35	3	99	2	45	0	99	5	44	1	99	1	32	2	99	2	39	0
Ponte Preta	50	50	70	55	64	44	71.6	35.8	77.2	42.4	67.8	23.5	82.1	22.4	76.0	13.5	76.3	28.6	85.9	28.4	80	0	31	0	78	0	31	2	69	0	22	3	73	1	19	3	86	4	28	0	88	2	35	0	78	0	45	0	79	1	26	3	69	0	33	0	61	0	43	0	72	2	39	1	74	1	35	2	74	2	35	2	75	1	13	3	66	0	11	1	69	1	20	0	79	1	18	1	86	1	18	2	79	0	15	2	73	0	13	2	82	1	20	0	72	0	20	2	67	0	19	1	69	1	18	1	75	2	15	1	65	0	15	2	65	2	15	3
Santos	50	50	60	35	64.5	42	59.45	37.8	54.9	30.2	61.1	35.6	61.9	41.2	66.3	46.3	54.2	49.4	52.1	52.4	52	1	44	1	61	3	37	2	63	1	46	0	54	0	55	0	54	1	64	0	61	3	73	0	63	1	73	1	79	3	72	2	73	0	74	0	63	0	84	0	54	0	90	0	61	1	88	1	78	2	96	0	74	0	91	2	77	1	99	0	81	1	99	0	83	1	96	1	86	2	93	2	86	1	90	1	86	1	88	1	86	1	87	2	91	3	86	1	95	1	79	2	87	0	75	2	87	1	75	3	94	1	84	0	99	2	84	1
São Paulo	50	50	45	45	56	49.5	66.1	55.95	59.7	53.1	68.2	56.7	78.6	50.2	69.4	58.1	81.3	42.1	72.2	37.1	67	0	31	2	76	2	17	3	76	2	2	2	66	0	1	2	67	1	10	0	69	1	10	1	89	4	1	3	90	1	1	2	90	1	1	2	99	3	1	2	99	1	1	1	99	2	1	4	99	2	1	2	99	2	1	1	99	1	1	1	99	1	8	0	90	0	8	1	93	2	5	1	93	1	2	3	93	1	1	3	99	2	1	1	99	1	6	0	99	2	2	2	99	1	1	1	95	0	1	1	86	0	9	0	91	2	8	1
Sport	50	50	45	30	50.5	25.5	74.9	14.7	68.5	8.2	78.9	14.2	79.1	8.2	74.1	16.1	83.2	1.0	93.5	7.2	94	1	14	0	99	3	21	0	99	3	30	0	99	1	22	2	99	4	25	0	92	0	24	2	94	3	22	1	96	2	20	2	99	1	20	3	92	0	27	0	88	0	22	2	81	0	16	5	77	0	8	1	70	0	5	2	72	1	1	1	62	0	1	1	66	2	1	1	68	1	1	1	77	1	1	1	86	1	1	1	92	3	1	4	94	1	1	1	97	1	1	2	87	0	1	2	92	1	1	5	92	1	11	0	94	2	11	1
Vasco	50	50	45	30	53	28	63.65	22.8	57.8	17.1	69.8	2.0	72.7	1.0	76.5	1.0	76.2	4.4	82.5	3.9	92	2	1	2	87	0	1	1	92	4	1	1	86	0	7	0	77	0	4	1	79	2	2	1	70	0	1	1	65	0	1	3	58	0	9	0	62	1	8	1	52	0	4	3	53	1	14	0	57	1	24	0	55	0	22	1	56	1	19	1	58	1	17	1	69	2	9	1	73	1	19	0	73	1	26	0	73	1	32	0	67	0	41	0	67	1	41	1	84	2	40	1	84	1	40	1	84	1	40	1	86	1	30	3	91	1	39	0
Vitória	50	50	45	55	39.5	50.5	33.6	46.85	35.7	42.8	31.1	34.7	39.1	41.3	49.6	32.9	41.6	39.2	37.9	11.9	29	0	20	0	29	2	12	1	29	1	7	4	38	2	1	4	41	1	1	3	41	1	1	2	35	0	10	0	49	3	8	1	57	2	18	0	52	0	10	1	62	1	20	0	64	1	26	0	64	2	23	2	64	1	23	2	67	3	23	1	83	3	22	2	83	1	14	2	99	2	11	2	99	2	3	3	99	2	1	3	99	1	1	1	99	1	1	1	99	3	1	1	99	1	1	1	99	1	1	2	99	1	1	1	99	3	1	2
